Country name,Ladder score,Population 2020,"COVID-19 deaths per 100,000 population in 2020",Median age,Island,Log of average distance to SARS countries,WHO Western Pacific Region,Female head of government,Index of institutional trust,Gini coefficient of income
Afghanistan,2.566900015,38928341,5.628,18.6,0,8.623,0,0,0.046,31
Albania,4.882699966,2877800,41.038,38,0,9.036,0,0,0.15,28.96
Algeria,5.005099773,43851043,6.285,29.1,0,9.159,0,0,0.415,27.62
Argentina,5.974699974,45195777,95.684,31.9,0,9.717,0,0,0.091,39.6
Armenia,4.676799774,2963234,95.268,35.7,0,8.858,0,0,0.174,33.62
Australia,7.222799778,25499881,3.565,37.9,1,9.102,1,0,0.335,33
Austria,7.294199944,9006400,69.084,44.4,0,9.023,0,0,0.358,26.8
Azerbaijan,5.164800167,10139175,26.048,32.4,0,8.81,0,0,0.352,26.6
Bahrain,6.227300167,1701583,20.687,32.4,1,8.852,0,0,0.487,59.6
Bangladesh,4.832799911,164689383,4.59,27.5,0,8.349,0,1,0.577,43.973
Belarus,5.539899826,9449321,15.07,40.3,0,8.935,0,0,0.242,25.44
Belgium,6.863500118,11589616,168.496,41.8,0,9.071,0,0,0.303,25.6
Benin,5.21600008,12123198,0.363,18.8,0,9.319,0,0,0.398,47.76
Bolivia,5.747499943,11673029,78.514,25.4,0,9.726,0,0,0.101,43.8
Bosnia and Herzegovina,5.674099922,3280815,123.445,42.5,0,9.032,0,0,0.064,33.03
Botswana,3.478899956,2351625,1.786,25.8,0,9.307,0,0,0.435,53.33
Brazil,6.375599861,212559409,91.715,33.5,0,9.666,0,0,0.115,54
Bulgaria,5.101500034,6948445,109.032,44.7,0,9.007,0,0,0.073,39.6
Burkina Faso,4.768700123,20903278,0.407,17.6,0,9.318,0,0,0.359,35.3
Burundi,3.775300026,11890781,0.017,17.5,0,9.186,0,0,0.293,38.62
Cambodia,4.848400116,16718971,0,25.6,0,8.256,1,0,0.498,36
Cameroon,5.084899902,26545864,1.688,18.8,0,9.276,0,0,0.281,46.64
Canada,7.23210001,37742157,41.418,41.4,0,9.268,0,0,0.482,35.25
Central African Republic,3.475899935,4829764,1.304,18.3,0,9.225,0,0,0.371,56.24
Chad,4.422699928,16425859,0.633,16.7,0,9.213,0,0,0.269,43.32
Chile,6.228499889,19116209,86.879,35.4,0,9.722,0,0,0.097,45.92
China,5.123899937,1439323774,0.332,38.7,0,8.213,1,0,0.516,46.7
Colombia,6.163400173,50882884,84.926,32.2,0,9.606,0,0,0.113,52
Comoros,4.288599968,869595,1.15,20.4,1,9.128,0,0,0.139,45.33
Congo (Brazzaville),5.194399834,5518092,1.957,19,0,9.287,0,0,0.238,48.94
Congo (Kinshasa),4.31099987,89561404,0.66,17,0,9.287,0,0,0.257,42.1
Costa Rica,7.121399879,5094114,42.893,33.6,0,9.549,0,0,0.213,48.6
Croatia,5.504700184,4105268,95.487,44,0,9.037,0,0,0.131,29.7
Cyprus,6.15899992,875899,13.586,37.3,1,8.968,0,0,0.174,29.1
Czech Republic,6.910900116,10708982,108.133,43.3,0,9.025,0,0,0.29,24
Denmark,7.645599842,5792203,22.409,42.3,0,9.006,0,1,0.572,27.8
Dominican Republic,5.689199924,10847904,22.253,27.6,1,9.503,0,0,0.199,44.4
Ecuador,5.925199986,17643060,79.544,28.1,0,9.634,0,0,0.205,45.4
Egypt,4.151400089,102334403,7.457,25.3,0,9.007,0,0,0.446,31.56
El Salvador,6.34829998,6486201,20.459,27.6,0,9.508,0,0,0.239,40.5
Estonia,6.021800041,1326539,17.263,42.7,0,8.93,0,1,0.27,30.6
Ethiopia,4.186200142,114963583,1.673,19.8,0,9.047,0,1,0.397,33.498
Finland,7.808700085,5540718,10.125,42.8,0,8.927,0,1,0.55,25.9
France,6.663799763,65273512,99.212,42,0,9.092,0,0,0.234,29.3
Gabon,4.829299927,2225728,2.875,23.1,0,9.305,0,1,0.104,38.02
